epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.8955,1.12384,3.40369,1.04725,0.97563,0.20903,0.74507,0.51481,1.01756,2.39957,0.9631,0.00329412,0.00329412,0.00329412
2,107.168,1.06127,1.70047,1.02827,0.89994,0.90948,0.95561,0.66939,1.02133,0.7571,0.99989,0.00658371,0.00658371,0.00658371
3,157.623,1.09434,1.35758,1.05409,0.8222,0.86814,0.89841,0.60511,1.06135,0.97561,1.06999,0.0098293,0.0098293,0.0098293
4,207.995,1.12351,1.0324,1.07652,0.86091,0.90227,0.94884,0.63096,1.11579,1.05561,1.10855,0.009802,0.009802,0.009802
5,257.91,1.08369,0.81305,1.05944,0.92505,0.93048,0.96021,0.67358,1.02981,0.75089,1.02836,0.009736,0.009736,0.009736
6,308.063,1.07232,0.7371,1.05481,0.92943,0.89964,0.95188,0.65534,1.05987,0.67182,1.04647,0.00967,0.00967,0.00967
7,357.783,1.04481,0.68951,1.04371,0.96348,0.94855,0.97489,0.68161,1.01545,0.59809,1.02887,0.009604,0.009604,0.009604
8,407.989,1.02697,0.65914,1.03294,0.88982,0.91963,0.94409,0.66181,1.04512,0.74671,1.04399,0.009538,0.009538,0.009538
9,457.576,1.01259,0.63646,1.03665,0.95377,0.92618,0.9584,0.6679,1.05036,0.56179,1.04562,0.009472,0.009472,0.009472
10,507.44,1.00341,0.61837,1.03515,0.93665,0.94525,0.96794,0.68775,1.00193,0.60725,1.02485,0.009406,0.009406,0.009406
11,557.512,0.98811,0.59235,1.02737,0.96317,0.9655,0.98048,0.69833,1.00938,0.54862,1.02736,0.00934,0.00934,0.00934
12,607.2,0.99122,0.59167,1.02703,0.96557,0.95397,0.97739,0.71477,0.94836,0.51433,0.99795,0.009274,0.009274,0.009274
13,657.27,0.9817,0.58124,1.025,0.94812,0.94788,0.97135,0.72135,0.92734,0.52225,0.97923,0.009208,0.009208,0.009208
14,707.251,0.97718,0.56783,1.02032,0.95467,0.93858,0.97188,0.69263,1.01938,0.5397,1.02578,0.009142,0.009142,0.009142
15,757.028,0.96617,0.55766,1.02104,0.95692,0.96561,0.97919,0.72615,0.93983,0.49851,0.99191,0.009076,0.009076,0.009076
16,806.685,0.96687,0.55585,1.01993,0.9665,0.93676,0.96957,0.70814,0.99215,0.5342,1.01051,0.00901,0.00901,0.00901
17,856.762,0.95666,0.54937,1.01952,0.97245,0.95469,0.97996,0.7274,0.94108,0.49358,0.98809,0.008944,0.008944,0.008944
18,906.645,0.95099,0.54245,1.01406,0.95892,0.94892,0.97857,0.73441,0.9257,0.49811,0.97994,0.008878,0.008878,0.008878
19,956.735,0.94292,0.53567,1.01055,0.96616,0.96286,0.98342,0.72878,0.92709,0.47167,0.98387,0.008812,0.008812,0.008812
20,1006.75,0.943,0.52965,1.01049,0.96695,0.95817,0.98034,0.72273,0.92479,0.48577,0.97749,0.008746,0.008746,0.008746
21,1056.56,0.94433,0.53498,1.01117,0.94212,0.93137,0.96206,0.70531,0.95248,0.5098,0.99471,0.00868,0.00868,0.00868
