epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.2429,1.11928,2.71573,1.05125,0.77487,0.80994,0.83911,0.56833,1.02033,1.09374,0.99374,0.00332861,0.00332861,0.00332861
2,161.63,1.12668,1.53609,1.07664,0.89704,0.89542,0.93308,0.64174,1.06389,1.00489,1.05044,0.00661798,0.00661798,0.00661798
3,235.193,1.17339,1.16316,1.1165,0.88713,0.88215,0.9344,0.61645,1.09309,0.99963,1.08909,0.00986334,0.00986334,0.00986334
4,308.348,1.19078,0.94854,1.12047,0.92432,0.88923,0.9429,0.63762,1.08759,1.132,1.08709,0.009802,0.009802,0.009802
5,381.196,1.1435,0.82065,1.10484,0.95819,0.93123,0.96841,0.67025,1.04593,0.65415,1.06047,0.009736,0.009736,0.009736
6,454.562,1.10818,0.75911,1.09909,0.93775,0.91919,0.95516,0.67159,0.99909,0.80519,1.03891,0.00967,0.00967,0.00967
7,527.102,1.09974,0.72798,1.09298,0.91422,0.91095,0.96575,0.67931,0.99949,0.6491,1.02727,0.009604,0.009604,0.009604
8,600.434,1.05891,0.68048,1.07006,0.94913,0.94724,0.97207,0.69609,0.95047,0.56756,1.00324,0.009538,0.009538,0.009538
9,676.574,1.05192,0.66753,1.07763,0.93595,0.95096,0.97295,0.70149,0.94415,0.5755,0.99164,0.009472,0.009472,0.009472
10,748.694,1.03781,0.64553,1.06735,0.95278,0.94157,0.97336,0.71449,0.93276,0.53673,0.99398,0.009406,0.009406,0.009406
11,820.632,1.02359,0.63269,1.05856,0.97098,0.96317,0.9796,0.71256,0.94115,0.53248,0.98775,0.00934,0.00934,0.00934
12,894.213,1.02596,0.62212,1.05588,0.97355,0.96095,0.98074,0.72374,0.92559,0.5042,0.98252,0.009274,0.009274,0.009274
13,966.712,1.02127,0.6135,1.06276,0.97032,0.96035,0.98083,0.71504,0.9451,0.5461,0.99689,0.009208,0.009208,0.009208
14,1038.32,1.01049,0.60401,1.05356,0.96212,0.96341,0.98242,0.72154,0.90753,0.48928,0.98479,0.009142,0.009142,0.009142
15,1113.2,0.99476,0.58837,1.04916,0.95953,0.9599,0.97213,0.71917,0.90187,0.48893,0.97217,0.009076,0.009076,0.009076
16,1190.86,0.98658,0.57565,1.05012,0.96133,0.96336,0.97835,0.73015,0.89865,0.51372,0.97235,0.00901,0.00901,0.00901
17,1265.36,0.98465,0.57579,1.04549,0.97531,0.96256,0.98432,0.73913,0.89348,0.47028,0.97219,0.008944,0.008944,0.008944
