epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,253.375,1.04705,1.44129,1.13828,0.91434,0.87385,0.94817,0.65661,1.02873,0.64461,1.10326,0.00332832,0.00332832,0.00332832
2,507.251,1.06484,0.72124,1.12958,0.89544,0.92837,0.94584,0.64638,1.06903,0.73324,1.10884,0.00664517,0.00664517,0.00664517
3,756.334,1.14221,0.80189,1.17439,0.86678,0.84986,0.88848,0.60921,1.07047,1.04494,1.15303,0.00994551,0.00994551,0.00994551
4,1004.21,1.16421,0.79125,1.20425,0.93948,0.92089,0.95694,0.65371,1.08482,0.66982,1.20397,0.00992575,0.00992575,0.00992575
5,1251.75,1.12708,0.71435,1.19269,0.96408,0.93524,0.96604,0.67034,1.06324,0.63291,1.18708,0.009901,0.009901,0.009901
6,1504,1.09387,0.66257,1.18245,0.93246,0.9269,0.95958,0.67979,1.02292,0.60577,1.15532,0.00987625,0.00987625,0.00987625
7,1754.83,1.07233,0.64069,1.16616,0.93041,0.93375,0.97158,0.69685,1.01876,0.53394,1.16105,0.0098515,0.0098515,0.0098515
8,2005.22,1.05379,0.60942,1.15685,0.93822,0.93946,0.9728,0.70692,0.97198,0.52122,1.12911,0.00982675,0.00982675,0.00982675
9,2255.78,1.02658,0.59168,1.15543,0.96106,0.95974,0.98102,0.72083,0.96546,0.48218,1.13145,0.009802,0.009802,0.009802
10,2506.69,1.02482,0.57379,1.14707,0.94937,0.95079,0.97684,0.72876,0.94201,0.487,1.11739,0.00977725,0.00977725,0.00977725
11,2759.3,1.01283,0.56777,1.13902,0.97004,0.96301,0.97904,0.71482,0.96526,0.46751,1.12543,0.0097525,0.0097525,0.0097525
12,3006.77,1.00635,0.55509,1.13531,0.95609,0.9606,0.98067,0.72611,0.93929,0.46207,1.10885,0.00972775,0.00972775,0.00972775
13,3254.34,0.99511,0.5422,1.13263,0.96018,0.95977,0.9813,0.73096,0.93537,0.45046,1.10196,0.009703,0.009703,0.009703
14,3504.52,0.98153,0.53347,1.11779,0.96819,0.96347,0.98081,0.7394,0.92521,0.44654,1.09604,0.00967825,0.00967825,0.00967825
15,3754.75,0.97995,0.5211,1.12512,0.96799,0.96585,0.98203,0.73468,0.92083,0.44659,1.11311,0.0096535,0.0096535,0.0096535
16,4002.33,0.96732,0.5103,1.10813,0.97247,0.96848,0.98565,0.73782,0.91862,0.42225,1.08471,0.00962875,0.00962875,0.00962875
17,4249.7,0.97202,0.51622,1.10958,0.97365,0.97076,0.98511,0.75414,0.90592,0.41781,1.07219,0.009604,0.009604,0.009604
18,4500.13,0.9696,0.51314,1.10958,0.97589,0.96713,0.98469,0.74601,0.91745,0.40988,1.08224,0.00957925,0.00957925,0.00957925
19,4747.67,0.95405,0.49768,1.10533,0.974,0.96988,0.98409,0.75847,0.89359,0.40112,1.07757,0.0095545,0.0095545,0.0095545
20,4998.14,0.95261,0.49073,1.10107,0.97552,0.97023,0.98662,0.75534,0.89179,0.39873,1.07596,0.00952975,0.00952975,0.00952975
21,5245.56,0.94747,0.48118,1.09815,0.96929,0.9681,0.98402,0.75646,0.8859,0.396,1.07558,0.009505,0.009505,0.009505
22,5493.34,0.94062,0.48805,1.09747,0.97859,0.96678,0.98714,0.76118,0.88227,0.3903,1.07962,0.00948025,0.00948025,0.00948025
23,5743.84,0.93678,0.48163,1.0956,0.97494,0.9708,0.98939,0.76502,0.87584,0.39952,1.0721,0.0094555,0.0094555,0.0094555
24,5995.69,0.93554,0.47935,1.09336,0.97376,0.97252,0.9849,0.76944,0.86484,0.3938,1.06732,0.00943075,0.00943075,0.00943075
25,6246.39,0.92593,0.47736,1.08736,0.97595,0.96897,0.98632,0.76689,0.86591,0.39012,1.06663,0.009406,0.009406,0.009406
26,6493.98,0.92461,0.47297,1.08557,0.97612,0.97121,0.98772,0.77203,0.87065,0.38885,1.0602,0.00938125,0.00938125,0.00938125
27,6744.17,0.91713,0.47233,1.08273,0.97091,0.97595,0.98809,0.77336,0.85917,0.37665,1.05655,0.0093565,0.0093565,0.0093565
28,6994.61,0.92119,0.47425,1.08409,0.97822,0.96624,0.98667,0.77211,0.85487,0.3811,1.06326,0.00933175,0.00933175,0.00933175
29,7242.23,0.91245,0.46871,1.07197,0.97107,0.9763,0.98823,0.77769,0.84684,0.37599,1.02941,0.009307,0.009307,0.009307
30,7492.83,0.91245,0.47142,1.06732,0.97224,0.97165,0.98716,0.7743,0.85445,0.37432,1.04706,0.00928225,0.00928225,0.00928225
31,7740.51,0.90865,0.46155,1.07046,0.9774,0.97123,0.98728,0.77646,0.84826,0.3721,1.04317,0.0092575,0.0092575,0.0092575
32,7989.41,0.9036,0.45452,1.0669,0.97921,0.97181,0.98725,0.77614,0.848,0.38544,1.03737,0.00923275,0.00923275,0.00923275
33,8238.72,0.8956,0.45465,1.06732,0.97515,0.97571,0.98865,0.77745,0.83829,0.36577,1.04363,0.009208,0.009208,0.009208
34,8486.7,0.90141,0.46141,1.07066,0.97311,0.97206,0.98877,0.77707,0.83986,0.36834,1.05018,0.00918325,0.00918325,0.00918325
35,8734.59,0.89356,0.45696,1.06949,0.97758,0.9707,0.98741,0.78245,0.8268,0.36696,1.05051,0.0091585,0.0091585,0.0091585
36,8984.87,0.89929,0.45522,1.07162,0.97672,0.97134,0.98655,0.78353,0.82696,0.35066,1.04078,0.00913375,0.00913375,0.00913375
37,9235.27,0.89974,0.44748,1.07543,0.97446,0.96983,0.98506,0.78412,0.82948,0.35566,1.04024,0.009109,0.009109,0.009109
38,9485.65,0.88702,0.44236,1.07529,0.97881,0.97714,0.98936,0.78574,0.82781,0.35193,1.0499,0.00908425,0.00908425,0.00908425
39,9736.25,0.88412,0.44847,1.07062,0.97176,0.97832,0.98685,0.78781,0.81959,0.34629,1.03706,0.0090595,0.0090595,0.0090595
40,9987.89,0.88294,0.45731,1.0674,0.9694,0.98068,0.98766,0.7903,0.8197,0.34938,1.04805,0.00903475,0.00903475,0.00903475
41,10238.5,0.88351,0.44509,1.06629,0.97449,0.97722,0.98926,0.788,0.8189,0.34977,1.03583,0.00901,0.00901,0.00901
42,10486.4,0.88079,0.44207,1.06211,0.97644,0.9768,0.98681,0.78828,0.81535,0.34333,1.03233,0.00898525,0.00898525,0.00898525
43,10734.8,0.88257,0.44523,1.06623,0.97715,0.97225,0.98866,0.79155,0.81133,0.34329,1.04052,0.0089605,0.0089605,0.0089605
44,10985.2,0.87642,0.44007,1.06172,0.97272,0.97748,0.98757,0.79346,0.8063,0.34137,1.03532,0.00893575,0.00893575,0.00893575
45,11235.4,0.87958,0.44481,1.06205,0.9744,0.97909,0.98992,0.79396,0.80922,0.34008,1.03189,0.008911,0.008911,0.008911
46,11486,0.87453,0.4389,1.05137,0.97489,0.97397,0.98896,0.79245,0.81022,0.33936,1.02773,0.00888625,0.00888625,0.00888625
47,11733.8,0.87871,0.43879,1.06011,0.97588,0.9751,0.98825,0.79324,0.80771,0.33872,1.03066,0.0088615,0.0088615,0.0088615
48,11981.3,0.87012,0.43149,1.05727,0.97601,0.97422,0.9888,0.79496,0.80866,0.3354,1.0321,0.00883675,0.00883675,0.00883675
49,12232.1,0.87206,0.4328,1.05677,0.97177,0.97956,0.98768,0.79476,0.80643,0.33286,1.03065,0.008812,0.008812,0.008812
50,12479.7,0.87547,0.43794,1.05605,0.97463,0.97444,0.98508,0.7964,0.80473,0.32984,1.02712,0.00878725,0.00878725,0.00878725
51,12730.1,0.87083,0.43163,1.06118,0.97121,0.9768,0.98665,0.7962,0.80283,0.32709,1.02415,0.0087625,0.0087625,0.0087625
52,12977.9,0.87004,0.42882,1.05363,0.9752,0.97732,0.98924,0.79783,0.80211,0.32424,1.02179,0.00873775,0.00873775,0.00873775
53,13228.4,0.86621,0.42558,1.05321,0.96913,0.97714,0.989,0.80092,0.7996,0.32549,1.02485,0.008713,0.008713,0.008713
