epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,161.087,1.08446,1.45788,1.11988,0.89159,0.94319,0.96076,0.68281,0.99622,0.59213,1.06112,0.00332362,0.00332362,0.00332362
2,323.268,1.04619,0.67953,1.09203,0.91183,0.93307,0.96891,0.67016,1.04759,0.57385,1.08928,0.00664047,0.00664047,0.00664047
3,481.749,1.09822,0.72495,1.13384,0.85728,0.79063,0.87828,0.57804,1.13818,0.88225,1.21004,0.00994083,0.00994083,0.00994083
4,639.721,1.14807,0.77852,1.17052,0.9009,0.8753,0.91491,0.6082,1.14138,0.73845,1.17057,0.00992575,0.00992575,0.00992575
5,798.985,1.11422,0.7076,1.15263,0.90319,0.91394,0.95164,0.66609,1.04714,0.65634,1.13937,0.009901,0.009901,0.009901
6,957.952,1.09145,0.66336,1.13898,0.93734,0.92399,0.95554,0.66929,1.05032,0.60505,1.12901,0.00987625,0.00987625,0.00987625
7,1115.63,1.06655,0.63275,1.12872,0.95083,0.93036,0.96845,0.69675,1.02062,0.56623,1.11812,0.0098515,0.0098515,0.0098515
8,1275,1.051,0.60806,1.12397,0.92969,0.89821,0.96002,0.68848,0.99667,0.65409,1.11638,0.00982675,0.00982675,0.00982675
9,1433.12,1.03096,0.58449,1.11226,0.96239,0.96232,0.97631,0.711,0.98002,0.49053,1.0896,0.009802,0.009802,0.009802
10,1592.53,1.01441,0.5638,1.10245,0.94978,0.9604,0.98311,0.71957,0.96876,0.49221,1.0742,0.00977725,0.00977725,0.00977725
11,1756.4,0.99935,0.5551,1.08962,0.96647,0.96964,0.98468,0.73133,0.95422,0.45802,1.06891,0.0097525,0.0097525,0.0097525
12,1915.81,0.9944,0.5443,1.08875,0.9598,0.9553,0.97704,0.72297,0.94259,0.46417,1.0765,0.00972775,0.00972775,0.00972775
13,2073.91,0.99792,0.54688,1.09507,0.96373,0.96554,0.97926,0.72543,0.9584,0.46642,1.09168,0.009703,0.009703,0.009703
14,2231.7,0.98124,0.53914,1.09089,0.97458,0.9632,0.98255,0.73608,0.93128,0.4477,1.06753,0.00967825,0.00967825,0.00967825
15,2390.87,0.97176,0.52448,1.08034,0.96911,0.97057,0.98415,0.74039,0.93758,0.43173,1.06919,0.0096535,0.0096535,0.0096535
16,2550.16,0.97216,0.52389,1.08462,0.96666,0.97294,0.98444,0.74927,0.91495,0.45823,1.0661,0.00962875,0.00962875,0.00962875
17,2709.19,0.95784,0.52046,1.07452,0.96991,0.96607,0.98313,0.75061,0.91323,0.43235,1.057,0.009604,0.009604,0.009604
18,2868.69,0.9512,0.50568,1.07619,0.96356,0.9727,0.98529,0.75773,0.89969,0.42347,1.05244,0.00957925,0.00957925,0.00957925
19,3027.73,0.93582,0.49656,1.06525,0.96738,0.95768,0.98379,0.74212,0.93133,0.45026,1.06245,0.0095545,0.0095545,0.0095545
20,3186.09,0.93924,0.49823,1.06823,0.96382,0.96508,0.98639,0.75848,0.89888,0.42887,1.04753,0.00952975,0.00952975,0.00952975
21,3345.06,0.94586,0.49898,1.06431,0.97407,0.97516,0.98834,0.76037,0.88533,0.41999,1.04562,0.009505,0.009505,0.009505
22,3504.51,0.92486,0.49006,1.05535,0.96623,0.96606,0.98561,0.76151,0.87385,0.40907,1.03825,0.00948025,0.00948025,0.00948025
23,3664.45,0.92172,0.48556,1.05986,0.96796,0.97256,0.98634,0.76041,0.89302,0.40019,1.05415,0.0094555,0.0094555,0.0094555
24,3822.52,0.91726,0.47868,1.0543,0.96321,0.96909,0.98575,0.77048,0.86871,0.39017,1.03756,0.00943075,0.00943075,0.00943075
25,3981.69,0.93258,0.48598,1.06171,0.97366,0.96668,0.9828,0.76161,0.87714,0.39845,1.04348,0.009406,0.009406,0.009406
26,4142.1,0.91082,0.47527,1.055,0.97018,0.96851,0.9861,0.76998,0.868,0.39558,1.03582,0.00938125,0.00938125,0.00938125
27,4301.88,0.91491,0.471,1.04997,0.97414,0.97029,0.98567,0.77455,0.86533,0.37967,1.0291,0.0093565,0.0093565,0.0093565
28,4461.59,0.90881,0.47104,1.05171,0.97448,0.97298,0.98836,0.7729,0.86217,0.37961,1.04147,0.00933175,0.00933175,0.00933175
29,4620.23,0.89968,0.46635,1.04809,0.96894,0.97128,0.98673,0.7695,0.86064,0.3805,1.02742,0.009307,0.009307,0.009307
30,4778.17,0.8996,0.46007,1.04671,0.96617,0.97379,0.98323,0.76824,0.86335,0.3859,1.02119,0.00928225,0.00928225,0.00928225
31,4936.03,0.90487,0.46189,1.04494,0.97253,0.97338,0.98758,0.77668,0.86452,0.38018,1.03387,0.0092575,0.0092575,0.0092575
32,5095.11,0.89597,0.46158,1.04611,0.975,0.96917,0.98674,0.77968,0.84536,0.37578,1.02009,0.00923275,0.00923275,0.00923275
33,5254.14,0.89427,0.45768,1.04644,0.97259,0.97546,0.98746,0.77873,0.84456,0.3794,1.02405,0.009208,0.009208,0.009208
34,5414.87,0.8953,0.4577,1.05048,0.9703,0.97646,0.98964,0.78323,0.84283,0.3664,1.03033,0.00918325,0.00918325,0.00918325
35,5574.16,0.88453,0.44906,1.03891,0.97503,0.97075,0.98798,0.78102,0.84303,0.36195,1.01812,0.0091585,0.0091585,0.0091585
36,5732.22,0.89248,0.45845,1.04269,0.96831,0.97164,0.98575,0.78135,0.83676,0.36564,1.01997,0.00913375,0.00913375,0.00913375
37,5890.01,0.88872,0.45151,1.03925,0.96606,0.97801,0.98807,0.78309,0.83961,0.36045,1.0159,0.009109,0.009109,0.009109
