epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.1314,1.14575,2.87998,1.13583,0.89356,0.90812,0.94219,0.64848,1.01288,0.70295,1.01577,0.00331276,0.00331276,0.00331276
2,166.693,1.03548,0.6936,1.05801,0.86951,0.84116,0.91001,0.61394,1.11332,1.03662,1.11522,0.00662964,0.00662964,0.00662964
3,248.547,1.10548,0.76684,1.09149,0.79725,0.8339,0.89959,0.56422,1.25681,1.34303,1.17926,0.00993003,0.00993003,0.00993003
4,330.389,1.15288,0.79566,1.127,0.8974,0.90745,0.95458,0.63467,1.13707,0.76641,1.12115,0.00992575,0.00992575,0.00992575
5,412.25,1.10979,0.72959,1.11618,0.92376,0.93098,0.9615,0.67132,1.06074,0.71488,1.07606,0.009901,0.009901,0.009901
6,494.254,1.07874,0.67733,1.10474,0.94654,0.93548,0.97467,0.67633,1.06327,0.62175,1.09139,0.00987625,0.00987625,0.00987625
7,576.476,1.05435,0.64266,1.09375,0.9393,0.94318,0.9703,0.67799,1.02311,0.62647,1.06891,0.0098515,0.0098515,0.0098515
8,658.521,1.04336,0.6238,1.09095,0.92508,0.95789,0.96734,0.68688,1.00321,0.57392,1.05863,0.00982675,0.00982675,0.00982675
9,740.735,1.03541,0.6136,1.09028,0.86713,0.9231,0.96579,0.69087,1.02866,0.69159,1.06276,0.009802,0.009802,0.009802
10,822.75,1.00972,0.58942,1.07981,0.96441,0.9498,0.98158,0.69804,1.02062,0.53426,1.06597,0.00977725,0.00977725,0.00977725
11,904.962,1.01094,0.58401,1.07359,0.97362,0.96404,0.98376,0.72734,0.94368,0.49527,1.04367,0.0097525,0.0097525,0.0097525
12,987.21,1.00185,0.56873,1.07272,0.96617,0.9615,0.97722,0.71045,0.96935,0.5132,1.04416,0.00972775,0.00972775,0.00972775
13,1068.84,0.99297,0.56669,1.0686,0.94238,0.95944,0.97656,0.72082,0.9666,0.51326,1.04483,0.009703,0.009703,0.009703
14,1150.5,0.98233,0.54844,1.05756,0.93606,0.95414,0.97611,0.70579,0.98749,0.50914,1.04813,0.00967825,0.00967825,0.00967825
15,1231.98,0.97575,0.54267,1.05378,0.97033,0.96938,0.98542,0.73286,0.93095,0.47832,1.03467,0.0096535,0.0096535,0.0096535
16,1314.36,0.96353,0.5294,1.06049,0.97796,0.96438,0.98636,0.73956,0.92478,0.4541,1.05146,0.00962875,0.00962875,0.00962875
17,1396.29,0.95901,0.52945,1.05588,0.97334,0.96112,0.98209,0.74169,0.91403,0.47113,1.0235,0.009604,0.009604,0.009604
18,1478.62,0.95112,0.52351,1.05132,0.96138,0.9551,0.98571,0.75005,0.90668,0.45641,1.02353,0.00957925,0.00957925,0.00957925
19,1560.6,0.95055,0.50931,1.0412,0.96433,0.96781,0.98361,0.74867,0.90216,0.46394,1.02108,0.0095545,0.0095545,0.0095545
20,1642.22,0.94442,0.51152,1.04765,0.97133,0.95945,0.9849,0.7494,0.90041,0.44509,1.00615,0.00952975,0.00952975,0.00952975
21,1724.03,0.93636,0.50783,1.03791,0.9668,0.97185,0.98483,0.75301,0.90049,0.43475,1.00503,0.009505,0.009505,0.009505
22,1805.95,0.93247,0.50187,1.0333,0.97113,0.97067,0.98528,0.75347,0.89029,0.4299,1.00619,0.00948025,0.00948025,0.00948025
23,1888.02,0.92819,0.49746,1.04141,0.97368,0.96683,0.98555,0.75798,0.88569,0.43041,1.02089,0.0094555,0.0094555,0.0094555
24,1969.8,0.92518,0.49452,1.04037,0.96686,0.97131,0.98547,0.76177,0.87262,0.41614,0.99951,0.00943075,0.00943075,0.00943075
25,2051.76,0.92119,0.49175,1.0314,0.97023,0.96277,0.98222,0.75895,0.87995,0.4202,1.00437,0.009406,0.009406,0.009406
26,2133.08,0.92227,0.48927,1.03478,0.97043,0.96828,0.98466,0.75578,0.87686,0.41094,1.00962,0.00938125,0.00938125,0.00938125
27,2214.59,0.92094,0.49099,1.03163,0.96969,0.96914,0.98644,0.7582,0.88111,0.41455,1.00135,0.0093565,0.0093565,0.0093565
28,2295.95,0.91608,0.48554,1.02846,0.97434,0.97173,0.98742,0.76614,0.87443,0.40754,1.01572,0.00933175,0.00933175,0.00933175
29,2377.82,0.91663,0.48053,1.03053,0.96147,0.97493,0.98712,0.76652,0.86996,0.40508,0.99394,0.009307,0.009307,0.009307
30,2459.89,0.91151,0.47726,1.02371,0.9693,0.97296,0.98596,0.76117,0.87556,0.40323,0.99958,0.00928225,0.00928225,0.00928225
31,2541.19,0.90611,0.47721,1.0275,0.97063,0.97317,0.98629,0.76677,0.87082,0.39659,1.00046,0.0092575,0.0092575,0.0092575
32,2623.35,0.90675,0.47454,1.02996,0.97105,0.96892,0.98623,0.77158,0.86071,0.40113,0.99661,0.00923275,0.00923275,0.00923275
33,2705.27,0.90132,0.47383,1.01923,0.96757,0.96865,0.98769,0.7756,0.86416,0.39551,0.9956,0.009208,0.009208,0.009208
34,2787.27,0.90867,0.47442,1.02315,0.97498,0.97187,0.98765,0.77452,0.85913,0.38735,0.98868,0.00918325,0.00918325,0.00918325
35,2868.85,0.90098,0.46532,1.02078,0.97022,0.96949,0.98568,0.77494,0.85251,0.38652,0.98728,0.0091585,0.0091585,0.0091585
36,2950.37,0.89888,0.46582,1.02237,0.97382,0.96936,0.98639,0.77847,0.85108,0.38237,0.98888,0.00913375,0.00913375,0.00913375
37,3032.63,0.89065,0.46481,1.01373,0.97442,0.97205,0.98913,0.77813,0.83697,0.37916,0.98295,0.009109,0.009109,0.009109
38,3114.11,0.89425,0.46247,1.02562,0.97301,0.97572,0.98764,0.78093,0.83365,0.37692,0.97962,0.00908425,0.00908425,0.00908425
39,3196.28,0.89172,0.46068,1.014,0.96594,0.97903,0.98831,0.7842,0.83726,0.38095,0.97861,0.0090595,0.0090595,0.0090595
40,3278.24,0.89489,0.46067,1.01682,0.97629,0.97456,0.9882,0.78136,0.84081,0.37137,0.98343,0.00903475,0.00903475,0.00903475
41,3359.85,0.8822,0.4517,1.01479,0.97319,0.97468,0.98744,0.78442,0.83128,0.36879,0.98502,0.00901,0.00901,0.00901
42,3441.93,0.88417,0.45742,1.01649,0.97511,0.97426,0.989,0.78853,0.82516,0.36601,0.98286,0.00898525,0.00898525,0.00898525
43,3523.77,0.88414,0.45544,1.02061,0.97001,0.97391,0.98703,0.78559,0.82604,0.36997,0.98078,0.0089605,0.0089605,0.0089605
44,3605.16,0.87658,0.44909,1.01181,0.96604,0.97627,0.98733,0.78722,0.83191,0.36086,0.97525,0.00893575,0.00893575,0.00893575
45,3686.46,0.88376,0.45391,1.01521,0.97597,0.97057,0.98759,0.79008,0.81973,0.3605,0.97008,0.008911,0.008911,0.008911
46,3768.68,0.88082,0.45192,1.0134,0.97314,0.97711,0.98881,0.78954,0.82309,0.35634,0.97274,0.00888625,0.00888625,0.00888625
47,3850.2,0.88272,0.45017,1.01697,0.97319,0.97451,0.98901,0.79086,0.81715,0.35803,0.97776,0.0088615,0.0088615,0.0088615
48,3932.2,0.87757,0.44793,1.00756,0.97519,0.96929,0.98859,0.78747,0.82692,0.36178,0.97476,0.00883675,0.00883675,0.00883675
49,4013.46,0.87039,0.44771,1.0085,0.97806,0.96946,0.98677,0.79176,0.82088,0.3549,0.97323,0.008812,0.008812,0.008812
50,4095.53,0.882,0.45129,1.01383,0.97496,0.97336,0.98859,0.79411,0.81934,0.34858,0.97125,0.00878725,0.00878725,0.00878725
51,4177.33,0.87029,0.44508,1.00574,0.97313,0.97374,0.98921,0.79234,0.82141,0.34871,0.97278,0.0087625,0.0087625,0.0087625
52,4259.08,0.86157,0.44072,1.00468,0.97263,0.97353,0.98889,0.79345,0.81443,0.34959,0.96421,0.00873775,0.00873775,0.00873775
53,4340.96,0.87795,0.44165,1.00884,0.97639,0.96928,0.989,0.79481,0.81787,0.3506,0.9709,0.008713,0.008713,0.008713
54,4422.81,0.87711,0.44526,1.00622,0.97367,0.9743,0.9894,0.79426,0.81227,0.34805,0.96805,0.00868825,0.00868825,0.00868825
55,4504.3,0.87166,0.4408,1.00727,0.96957,0.97384,0.98812,0.79868,0.80808,0.34606,0.96457,0.0086635,0.0086635,0.0086635
56,4586.18,0.86123,0.43809,1.00036,0.97254,0.97366,0.98793,0.79723,0.80978,0.3466,0.96326,0.00863875,0.00863875,0.00863875
57,4667.6,0.86556,0.43653,1.00898,0.96971,0.9737,0.98706,0.79732,0.80793,0.34602,0.97347,0.008614,0.008614,0.008614
58,4748.82,0.86646,0.43414,1.00591,0.97264,0.97642,0.98843,0.80017,0.80759,0.34765,0.96839,0.00858925,0.00858925,0.00858925
59,4830.57,0.86386,0.43925,1.00379,0.96779,0.97687,0.98846,0.79743,0.80415,0.34123,0.96576,0.0085645,0.0085645,0.0085645
60,4912.07,0.86844,0.43341,1.00707,0.96855,0.97705,0.98821,0.79643,0.80621,0.34113,0.96492,0.00853975,0.00853975,0.00853975
61,4993.36,0.85873,0.43623,1.00136,0.96894,0.9742,0.98891,0.79928,0.80463,0.33924,0.96452,0.008515,0.008515,0.008515
62,5074.83,0.85478,0.43535,1.00425,0.975,0.97417,0.98839,0.80043,0.80336,0.33477,0.96036,0.00849025,0.00849025,0.00849025
63,5156.62,0.85946,0.43616,0.99319,0.97447,0.97731,0.98889,0.80058,0.8031,0.33134,0.9562,0.0084655,0.0084655,0.0084655
64,5238.79,0.85899,0.43065,0.9929,0.97069,0.97554,0.98824,0.79985,0.80512,0.33303,0.95629,0.00844075,0.00844075,0.00844075
65,5319.4,0.86097,0.43271,0.9987,0.97096,0.97574,0.98804,0.80014,0.80124,0.33191,0.95739,0.008416,0.008416,0.008416
66,5400.63,0.85893,0.4287,0.99285,0.97165,0.97524,0.98863,0.80228,0.80052,0.33082,0.95388,0.00839125,0.00839125,0.00839125
67,5482.7,0.85479,0.4258,0.99184,0.97208,0.97812,0.98909,0.80248,0.80327,0.33034,0.95419,0.0083665,0.0083665,0.0083665
68,5564.72,0.84938,0.42511,0.99609,0.97209,0.97664,0.98986,0.80344,0.79951,0.32781,0.95361,0.00834175,0.00834175,0.00834175
69,5646.75,0.85207,0.42825,1.00115,0.97055,0.97946,0.9894,0.80197,0.79965,0.3273,0.95835,0.008317,0.008317,0.008317
70,5728.02,0.84928,0.42499,0.99314,0.97199,0.97647,0.98998,0.80233,0.79911,0.32576,0.95943,0.00829225,0.00829225,0.00829225
71,5809.48,0.84991,0.42573,0.99933,0.97297,0.97604,0.98836,0.80192,0.79762,0.32688,0.95984,0.0082675,0.0082675,0.0082675
72,5890.77,0.85464,0.42907,0.99528,0.97043,0.97723,0.98892,0.8016,0.8001,0.32385,0.95827,0.00824275,0.00824275,0.00824275
73,5972.14,0.85532,0.42242,0.99293,0.97397,0.97788,0.99032,0.80301,0.79868,0.32532,0.95521,0.008218,0.008218,0.008218
74,6053.47,0.85515,0.42643,1.00074,0.97257,0.9761,0.98861,0.80375,0.79945,0.32376,0.95762,0.00819325,0.00819325,0.00819325
75,6135.44,0.8557,0.42616,0.98818,0.97287,0.97504,0.9883,0.80463,0.79916,0.32321,0.95529,0.0081685,0.0081685,0.0081685
76,6217.51,0.84928,0.42286,0.98604,0.9717,0.97444,0.98772,0.80522,0.79806,0.32255,0.9505,0.00814375,0.00814375,0.00814375
