epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,388.69,1.04797,1.37917,1.1464,0.94673,0.93552,0.95937,0.68353,0.98833,0.5693,1.07122,0.00332979,0.00332979,0.00332979
2,776.347,1.0626,0.69463,1.12692,0.93333,0.90815,0.95646,0.66914,1.01605,0.74967,1.09077,0.00664663,0.00664663,0.00664663
3,1161.36,1.12836,0.78676,1.18365,0.88409,0.85068,0.90878,0.59634,1.14152,0.84073,1.21607,0.00994698,0.00994698,0.00994698
4,1546.28,1.17479,0.82088,1.22128,0.92744,0.92496,0.95664,0.64702,1.08785,0.71141,1.21389,0.00992575,0.00992575,0.00992575
5,1928.87,1.13445,0.7333,1.20627,0.92875,0.94427,0.96618,0.67507,1.03847,0.63538,1.16036,0.009901,0.009901,0.009901
6,2311.15,1.0969,0.68303,1.19606,0.92459,0.9423,0.96059,0.67795,1.01264,0.63842,1.1596,0.00987625,0.00987625,0.00987625
7,2692.83,1.07454,0.6496,1.18061,0.94421,0.95963,0.97393,0.70402,0.97592,0.51893,1.13344,0.0098515,0.0098515,0.0098515
8,3079.92,1.04865,0.6186,1.16439,0.94995,0.94052,0.96737,0.69612,0.96471,0.51909,1.13816,0.00982675,0.00982675,0.00982675
9,3462.38,1.03599,0.59859,1.16654,0.95398,0.96079,0.97969,0.72789,0.9336,0.47889,1.10894,0.009802,0.009802,0.009802
10,3847.44,1.02431,0.58237,1.1581,0.95634,0.95418,0.97785,0.72365,0.94459,0.47213,1.11278,0.00977725,0.00977725,0.00977725
11,4229.6,1.00955,0.5613,1.14695,0.96405,0.96292,0.9805,0.71806,0.93131,0.4578,1.11503,0.0097525,0.0097525,0.0097525
12,4611.62,1.00416,0.56225,1.14393,0.96578,0.96825,0.98386,0.73247,0.93208,0.46172,1.11119,0.00972775,0.00972775,0.00972775
